,Median OR,95% Interval,90% Interval,75% Interval
chlorogenate,2.27970828,"(1.21215528, 4.4162901)","(1.22067014, 4.39954004)","(1.45353715, 3.62262898)"
fucose,1.6629873,"(1.0, 3.12833214)","(1.0, 3.08299029)","(1.0, 2.31266375)"
vanillylmandelate (VMA),0.65040314,"(1.0, 0.36688751)","(1.0, 0.37572417)","(0.89520727, 0.43797213)"
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",1.52317188,"(1.05918527, 2.41210546)","(1.06417516, 2.38619489)","(1.20478364, 2.22576349)"
"2,3-dimethylsuccinate",0.65765155,"(1.0, 0.41358178)","(1.0, 0.42109366)","(1.0, 0.49569225)"
HEPES,0.73106916,"(1.0, 0.51293815)","(1.0, 0.54601982)","(1.0, 0.56682764)"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",1.36334142,"(1.0, 2.57616021)","(1.0, 2.27732156)","(1.0, 2.04255199)"
hexadecasphinganine (d16:0)*,1.36280838,"(1.0, 2.0411227)","(1.0, 2.00511216)","(1.0, 1.67347115)"
2-acetamidobutanoate,0.73966709,"(1.0, 0.44034358)","(1.0, 0.50869839)","(1.0, 0.55615959)"
1-methylhypoxanthine,0.74521262,"(1.0, 0.49307203)","(1.0, 0.53821348)","(1.0, 0.57550924)"
pregnenediol sulfate (C21H34O5S)*,0.76857872,"(1.0, 0.55349642)","(1.0, 0.57984178)","(1.0, 0.62500227)"
cortisol,0.77222298,"(1.0, 0.49842607)","(1.0, 0.52818958)","(1.0, 0.60653066)"
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",1.27264717,"(1.0, 1.88721085)","(1.0, 1.8645132)","(1.0, 1.70488899)"
N-acetyl-1-methylhistidine*,1.20402741,"(1.0, 1.73741782)","(1.0, 1.67313649)","(1.0, 1.589469)"
deoxycholic acid 3-sulfate,0.85659652,"(1.0, 0.62807229)","(1.0, 0.6659771)","(1.0, 0.69398842)"
metronidazole,0.88253455,"(1.0, 0.60671265)","(1.0, 0.67246851)","(1.0, 0.73867296)"
"1-oleoyl-sn-glycero-2',3'-cyclic phosphate",1.1312815,"(1.0, 1.57869728)","(1.0, 1.55752808)","(1.0, 1.43232644)"
PAHSA (16:0/OH-18:0),0.89645486,"(1.0, 0.64307109)","(1.0, 0.6450677)","(1.0, 0.70215577)"
1-methylurate,0.89663224,"(1.0, 0.55255627)","(1.0, 0.64739413)","(1.0, 0.71619701)"
