,Median OR,95% Interval,90% Interval,75% Interval
behenoyl ethanolamide (22:0)*,0.53702989,"(1.0, 0.36095572)","(1.0, 0.46162611)","(0.66657674, 0.48568258)"
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),1.4186833,"(1.35445614, 2.07362856)","(1.35554014, 1.85021158)","(1.38902214, 1.69706451)"
N-methyl-GABA,0.7569355,"(1.0, 0.51283558)","(1.0, 0.61760882)","(0.86217242, 0.69197877)"
solanidine,0.76582027,"(0.99391857, 0.4674794)","(0.82969261, 0.46963476)","(0.80011485, 0.66391576)"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",1.24178624,"(1.046551, 1.95033275)","(1.11482785, 1.62693845)","(1.20816176, 1.54449964)"
lignoceroyl sphingomyelin (d18:1/24:0),1.17881717,"(1.03468807, 1.92379539)","(1.09888936, 1.88362856)","(1.13009308, 1.44585378)"
decanoylcarnitine (C10),1.14446474,"(1.0, 1.73221338)","(1.0, 1.68185946)","(1.05506249, 1.35350835)"
taurohyocholate*,1.13702482,"(1.0554846, 2.49328221)","(1.05654061, 2.40704535)","(1.07928631, 1.8943959)"
3-phenylpropionate (hydrocinnamate),0.99200156,"(1.0, 0.80292016)","(1.0, 0.81889452)","(1.0, 0.8773055)"
xylose,0.9946304,"(1.0, 0.61152466)","(1.0, 0.69163287)","(1.0, 0.77004987)"
meglumine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mevalonolactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mevalonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
metronidazole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
metoprolol acid metabolite*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
metoprolol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
metoclopramide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methylurea,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methylsuccinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
montelukast,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methylmalonate (MMA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N1-Methyl-2-pyridone-5-carboxamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methyl indole-3-acetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methionine sulfoxide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methionine sulfone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mead acid (20:3n9),1.0,"(1.0, 0.76490778)","(1.0, 0.77848933)","(1.0, 1.0)"
methylphosphate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
morphine-3-glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myristate (14:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyl-beta-alanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyl-aspartyl-glutamate (NAAG),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyl-3-methylhistidine*,1.0,"(1.0, 0.59025537)","(1.0, 0.64005575)","(1.0, 0.96117383)"
N-acetyl-2-aminooctanoate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyl-1-methylhistidine*,1.0,"(1.0, 1.01897783)","(1.0, 1.00481154)","(1.0, 1.0)"
"N1,N10-dicoumaroylspermidine",1.0,"(1.0, 1.34030875)","(1.0, 1.25282375)","(1.0, 1.13496294)"
N-(2-hydroxypalmitoyl)-sphingosine (d18:1/16:0(2OH)),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-(2-furoyl)glycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N,N-dimethylalanine",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N,N-dimethyl-5-aminovalerate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N,N,N-trimethyl-alanylproline betaine (TMAP)",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N,N,N-trimethyl-5-aminovalerate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N(1)-acetylspermine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N1,N12-diacetylspermine",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myristoylcarnitine (C14),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myristoleoylcarnitine (C14:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myristoleate (14:1n5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myo-inositol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
margaroylcarnitine (C17)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
margaroyl ethanolamide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
margarate (17:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N1-methylinosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lisinopril,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoylcarnitine (C18:2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenoylcarnitine (C18:3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,1.0,"(1.0, 1.93285851)","(1.0, 1.80796156)","(1.0, 1.46111523)"
linolenoyl-linolenoyl-glycerol (18:3/18:3) [1]*,1.0,"(1.0, 1.64756757)","(1.0, 1.58169966)","(1.0, 1.05453509)"
linolenoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenate (18:3n3 or 3n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleate (18:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
limonin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lithocholate,1.0,"(1.0, 0.87555264)","(1.0, 0.88232042)","(1.0, 1.0)"
lithocholate sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lithocholic acid sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
