,Median OR,95% Interval,90% Interval,75% Interval
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",1.17445955,"(1.02716235, 1.33642749)","(1.03406744, 1.29822767)","(1.04081077, 1.28402542)"
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),1.16265603,"(1.01592548, 1.32312981)","(1.01704361, 1.29693009)","(1.0261357, 1.24882112)"
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",1.04081077,"(1.0, 1.11750665)","(1.0, 1.09515948)","(1.01643357, 1.06183655)"
vanillylmandelate (VMA),1.02040746,"(1.0, 1.06183655)","(1.0, 1.05929119)","(1.0, 1.05022035)"
choline,1.02040746,"(1.0, 1.0512711)","(1.0, 1.04896084)","(1.0, 1.04122718)"
gamma-glutamyltyrosine,1.02040746,"(1.0, 1.06183655)","(1.0, 1.05179686)","(1.01015118, 1.04081077)"
2-hydroxysebacate,1.0203044,"(1.0, 1.06183655)","(1.0, 1.06183655)","(1.0, 1.06056311)"
4-hydroxyphenylpyruvate,1.02020134,"(1.0, 1.06183655)","(1.0, 1.05179686)","(1.0, 1.04081077)"
"1,2-dipalmitoyl-GPC (16:0/16:0)",1.01965299,"(1.0, 1.04081077)","(1.0, 1.04081077)","(1.0, 1.03665585)"
1-stearoyl-GPE (18:0),1.01963248,"(1.0, 1.06183655)","(1.0, 1.06183655)","(1.0, 1.04122718)"
behenoyl sphingomyelin (d18:1/22:0)*,1.01840377,"(1.0, 1.04081077)","(1.0, 1.04081077)","(1.0, 1.04081077)"
glycerophosphorylcholine (GPC),1.01516433,"(1.0, 1.04081077)","(1.0, 1.04081077)","(1.0, 1.02111993)"
chlorogenate,1.01444578,"(1.0, 1.06183655)","(1.0, 1.05179686)","(1.0, 1.05179686)"
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",1.0101522,"(1.0, 1.04122718)","(1.0, 1.04122718)","(1.0, 1.0204054)"
"1,3,7-trimethylurate",1.0101522,"(1.0, 1.03045453)","(1.0, 1.02020134)","(1.0, 1.02020134)"
1-oleoyl-GPS (18:1),1.0101522,"(1.0, 1.02020134)","(1.0, 1.02020134)","(1.0, 1.02020134)"
octanoylcarnitine (C8),1.01010118,"(1.0, 1.03076372)","(1.0, 1.0204054)","(1.0, 1.02020134)"
linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,1.00149934,"(1.0, 1.04081077)","(1.0, 1.0204054)","(1.0, 1.02020134)"
tartronate (hydroxymalonate),1.0,"(1.0, 1.02020134)","(1.0, 1.0162303)","(1.0, 1.01015118)"
histidine betaine (hercynine)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecadienoate (16:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hesperidin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroquinone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hesperetin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"hydroxy-N6,N6,N6-trimethyllysine*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptenedioate (C7:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptanoate (7:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroxybupropion,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroxymethylpyrimidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptadecatrienoate (17:3)*,1.0,"(1.0, 1.01015118)","(1.0, 1.0)","(1.0, 1.0)"
heptadecasphingosine (d17:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heneicosapentaenoate (21:5n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heme,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydrochlorothiazide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydantoin-5-propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecanedioate (C16),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecasphinganine (d16:0)*,1.0,"(1.0, 1.01005017)","(1.0, 1.01005017)","(1.0, 1.00270365)"
histidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histamine,1.0,"(1.0, 1.0162303)","(1.0, 1.01005017)","(1.0, 1.0)"
hippurate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoylglycine (C6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoylcarnitine (C6),1.0,"(1.0, 1.02020134)","(1.0, 1.01015118)","(1.0, 1.01015118)"
harmane,1.0,"(1.0, 1.01005017)","(1.0, 1.0)","(1.0, 1.0)"
homo-cis-aconitate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homocitrulline,1.0,"(1.0, 1.01015118)","(1.0, 1.01005017)","(1.0, 1.0)"
hexadecenedioate (C16:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homostachydrine*,1.0,"(1.0, 1.01015118)","(1.0, 1.01015118)","(1.0, 1.01015118)"
homovanillate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecatrienoate (16:3n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecasphingosine (d16:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histidylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
(12 or 13)-methylmyristate (a15:0 or i15:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guaiacol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"guanosine-2',3'-cyclic monophosphate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate glucuronide (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate glucuronide (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glyco-beta-muricholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycitein sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycitein,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoserine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoinositol*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoglycerol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoethanolamine,1.0,"(1.0, 1.02367593)","(1.0, 1.02020134)","(1.0, 1.01015118)"
glycerol 3-phosphate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutarylcarnitine (C5-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gulonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholenate sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycodeoxycholate 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanidinosuccinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanidinoacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycyrrhetinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylvaline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylisoleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycoursodeoxycholic acid sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycoursodeoxycholate,1.0,"(1.0, 1.00130085)","(1.0, 1.0)","(1.0, 1.0)"
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycolithocholate sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycolithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
