,Feature Name,Passing selection
0,Ursocholanic Acid,TRUE
1,Lithocholenic Acid,TRUE
2,5-Cholenic Acid-3-beta-ol,TRUE
3,3-Ketocholanic Acid,TRUE
4,Lithocholic Acid,TRUE
5,Isolithocholic Acid,TRUE
6,Isoallolithocholic Acid,TRUE
7,"3-alpha,12-alpha, 23-Nordeoxycholic Acid",TRUE
8,"9(11), (5-beta)-Cholenic Acid-3-alpha-ol-12-one",TRUE
9,"5-alpha-Cholanic Acid-3, 6-dione",TRUE
10,"3,7-Diketocholanic Acid",TRUE
11,"3,6-Diketocholanic Acid|3,12-Diketocholanic Acid",TRUE
12,5-beta-Cholenic Acid-7-alpha-ol-3-one,TRUE
13,5-alpha-Cholanic Acid-3-alpha-ol-6-one,TRUE
14,3-alpha-Hydroxy-7 Ketolithocholic Acid,TRUE
15,3-alpha-Hydroxy-12 Ketolithocholic Acid,TRUE
16,Murocholic Acid,TRUE
17,"5-beta-Cholanic Acid-3-beta, 12-alpha-diol",TRUE
18,Deoxycholic Acid,TRUE
19,Chenodeoxycholic Acid,TRUE
20,"3,7,12-Dehydrocholic Acid",TRUE
21,"3-alpha-Hydroxy-7,12-Diketocholanic Acid",TRUE
22,"5-beta-Cholanic Acid-3-alpha, 6-alpha-diol-7-one",TRUE
23,3-Dehydrocholic Acid,TRUE
24,12-Dehydrocholic Acid|7-Dehydrocholic Acid,TRUE
25,Ursodeoxycholic Acid,TRUE
26,omega Muricholic Acid,TRUE
27,beta Muricholic Acid,TRUE
28,Cholic Acid,TRUE
29,Hyocholic acid,TRUE
30,alpha Muricholic Acid,TRUE
31,Glycoursocholanic Acid ,TRUE
32,Glycolithocholic Acid,TRUE
33,Glycohyodeoxycholic Acid,TRUE
34,Glycochenodeoxycholic Acid,TRUE
35,Glycodeoxycholic Acid,TRUE
36,Glycoursodeoxycholic Acid,TRUE
37,Glycocholic Acid,TRUE
38,Tauroursocholanic Acid,TRUE
39,Taurolithocholic Acid,TRUE
40,Glycohyocholic Acid,TRUE
41,Tauroursodeoxycholic Acid,TRUE
42,Taurohyodeoxycholic Acid,TRUE
43,Taurochenodeoxycholic Acid,TRUE
44,Taurodeoxycholic Acid,TRUE
45,"3,7,12-Taurodehydrocholic Acid",TRUE
46,Taurohyocholic Acid ,TRUE
47,Tauro-beta Muricholic Acid |Tauro-alpha Muricholic Acid ,TRUE
48,Tauro omega-Muricholic Acid ,TRUE
49,Taurocholic Acid,TRUE
50,Taurolithocholic Acid 3-Sulfate,TRUE
51,Lithocholic Acid 3-Sulfate,TRUE
52,Cholic Acid 7-Sulfate,TRUE
53,Cholic Acid-3-Sulfate ,TRUE
54,Deoxycholic Acid-3-Sulfate ,TRUE
55,Chenodeoxycholic Acid-3-Sulfate ,TRUE
56,Ursodeoxycholic Acid-3-Sulfate ,TRUE
57,Glycochenodeoxycholic Acid-3-Sulfate ,TRUE
58,Taurochenodeoxycholic Acid-3-Sulfate ,TRUE
59,Glycocholic Acid-3-Sulfate ,TRUE
60,Glycolithocholic Acid-3-Sulfate,TRUE
61,Taurodeoxycholic Acid-3-Sulfate,TRUE
62,Tauroursodeoxycholic Acid-3-Sulfate,TRUE
63,Glycoursodeoxycholic Acid-3-Sulfate,TRUE
64,Glycodeoxycholic Acid-3-Sulfate,TRUE
65,Taurocholic Acid-3-Sulfate,TRUE
66,Ursocholic Acid,TRUE
67,23-Norcholic Acid,TRUE
68,6-Oxolithocholic Acid,TRUE
69,5-beta-Cholanic Acid 12-alpha-ol-3-one,TRUE
70,5-alpha-Cholanic Acid-3-one,TRUE
