#Scan#,Adduct,CAS_Number,Charge,Compound_Name,Compound_Source,Data_Collector,ExactMass,FileScanUniqueID,INCHI,INCHI_AUX,Instrument,IonMode,Ion_Source,LibMZ,LibraryName,LibraryQualityString,Library_Class,MQScore,MZErrorPPM,MassDiff,MoleculeExplorerDatasets,MoleculeExplorerFiles,NumberHits,Organism,PI,Precursor_MZ,Pubmed_ID,RT_Query,SharedPeaks,Smiles,SpecCharge,SpecMZ,SpectrumFile,SpectrumID,TIC_Query,UpdateWorkflowName,tags
100312,M+H,n/a,1,"NCGC00384874-01!6-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxypyran-2-one",isolated,lfnothias,228.1,spectra/specs_ms.pklbin100312,"InChI=1S/C11H16O5/c1-3-4-8(12)11(14)9-5-7(15-2)6-10(13)16-9/h5-6,8,11-12,14H,3-4H2,1-2H3/t8-,11+/m1/s1",N/A,Maxis II HD Q-TOF Bruker,positive,LC-ESI,229.107,lib-00002.mgf,Gold,1,0.703318,8480.72,1.94299,1,2,1,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,229.107,n/a,166.236,6,CCC[C@@H](O)[C@H](O)C1=CC(OC)=CC(=O)O1,0,227.164,spectra/specs_ms.pklbin,CCMSLIB00000845036,4000,UPDATE-SINGLE-ANNOTATED-GOLD, 
100451,M+H,n/a,1,"NCGC00384874-01!6-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxypyran-2-one",isolated,lfnothias,228.1,spectra/specs_ms.pklbin100451,"InChI=1S/C11H16O5/c1-3-4-8(12)11(14)9-5-7(15-2)6-10(13)16-9/h5-6,8,11-12,14H,3-4H2,1-2H3/t8-,11+/m1/s1",N/A,Maxis II HD Q-TOF Bruker,positive,LC-ESI,229.107,lib-00002.mgf,Gold,1,0.71317,8480.72,1.94299,1,2,1,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,229.107,n/a,166.711,7,CCC[C@@H](O)[C@H](O)C1=CC(OC)=CC(=O)O1,0,227.164,spectra/specs_ms.pklbin,CCMSLIB00000845036,3982.72,UPDATE-SINGLE-ANNOTATED-GOLD, 
1005827,M+H,930121,1,Spectral Match to Decaethylene glycol tridecyl ether from NIST14,Isolated,Data deposited by abouslimani,0,spectra/specs_ms.pklbin1005827,N/A,N/A,QqQ,Positive,ESI,641.487,lib-00031.mgf,Bronze,3,0.837475,4.66217,0.00299072,59,4094,1,GNPS-NIST14-MATCHES,Data from Maria Gloria Dominguez-Bello and Pieter Dorrestein,641.487,N/A,403.266,26,N/A,0,641.484,spectra/specs_ms.pklbin,CCMSLIB00003140164,100903,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1006020,M+H,n/a,1,"NCGC00385418-01!2-(3,4-dihydroxyphenyl)-5-hydroxy-7-methoxy-8-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",isolated,lfnothias,640.164,spectra/specs_ms.pklbin1006020,"InChI=1S/C28H32O17/c1-8-16(33)19(36)21(38)27(41-8)45-26-18(35)15-12(32)6-13(40-2)24(44-28-22(39)20(37)17(34)14(7-29)42-28)25(15)43-23(26)9-3-4-10(30)11(31)5-9/h3-6,8,14,16-17,19-22,27-34,36-39H,7H2,1-2H3/t8-,14+,16-,17+,19+,20-,21+,22+,27-,28-/m0/s1",N/A,Maxis II HD Q-TOF Bruker,positive,LC-ESI,641.171,lib-00002.mgf,Gold,1,0.740624,3066.27,1.966,3,13,1,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,641.171,n/a,195.848,9,COC1=CC(O)=C2C(=O)C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)=C(OC2=C1O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C5=CC(O)=C(O)C=C5,0,643.137,spectra/specs_ms.pklbin,CCMSLIB00000848532,11924.7,UPDATE-SINGLE-ANNOTATED-GOLD, 
103657,M+H,N/A,1,NCGC00160208-01!6-Demethoxy-isomaculosidine,Prestwick Phytochem Lib,VVP/LMS,229.074,spectra/specs_ms.pklbin103657,N/A,N/A,qTOF,Positive,LC-ESI,230.082,lib-00014.mgf,Gold,1,0.708392,4485.35,1.032,1,1,1,GNPS-PRESTWICKPHYTOCHEM,Dorrestein,230.082,N/A,196.875,5,COC1=CC=CC2=C1N(C)C3=C(C=CO3)C2=O,0,229.05,spectra/specs_ms.pklbin,CCMSLIB00000078732,3957.4,UPDATE-SINGLE-ANNOTATED-GOLD, 
1038,M+H,71001,1,Spectral Match to L-Histidine from NIST14,Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin1038,N/A,N/A,QqQ,Positive,ESI,156.077,lib-00031.mgf,Bronze,3,0.863557,6214.89,0.970001,14,662,1,GNPS-NIST14-MATCHES,Data from Rob Knight ,156.077,N/A,205.557,5,N/A,0,155.107,spectra/specs_ms.pklbin,CCMSLIB00003136727,9849.66,UPDATE-SINGLE-ANNOTATED-BRONZE, 
103816,M+H,n/a,1,NCGC00381386-01!2-(7-hydroxy-6-methyloctyl)-2H-furan-5-one,isolated,lfnothias,226.157,spectra/specs_ms.pklbin103816,"InChI=1S/C13H22O3/c1-10(11(2)14)6-4-3-5-7-12-8-9-13(15)16-12/h8-12,14H,3-7H2,1-2H3",N/A,Maxis II HD Q-TOF Bruker,positive,LC-ESI,227.164,lib-00002.mgf,Gold,1,0.724716,8716.15,1.98,2,11,1,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,227.164,n/a,266.266,8,CC(O)C(C)CCCCCC1OC(=O)C=C1,0,229.144,spectra/specs_ms.pklbin,CCMSLIB00000847561,12242.1,UPDATE-SINGLE-ANNOTATED-GOLD, 
10405,M+Na,18457551,1,Spectral Match to (-)-Perillyl alcohol from NIST14,Isolated,Data deposited by pmallard,0,spectra/specs_ms.pklbin10405,N/A,N/A,QqQ,Positive,ESI,175.112,lib-00031.mgf,Bronze,3,0.803369,11250,1.97,0,0,1,GNPS-NIST14-MATCHES,Data from Wolfender/Litaudon,175.112,N/A,705.081,6,N/A,0,177.082,spectra/specs_ms.pklbin,CCMSLIB00003139980,4615.14,UPDATE-SINGLE-ANNOTATED-BRONZE, 
10441,M+H-H2O,6556123,1,Spectral Match to D-Glucuronic acid from NIST14,Isolated,Data deposited by Bertrand,0,spectra/specs_ms.pklbin10441,N/A,N/A,IT/ion trap,Positive,ESI,177.04,lib-00031.mgf,Bronze,3,0.89623,186.425,0.0330048,1,3,1,GNPS-NIST14-MATCHES,Data from B Aigle,177.04,N/A,270.998,5,N/A,0,177.073,spectra/specs_ms.pklbin,CCMSLIB00003137764,33168.8,UPDATE-SINGLE-ANNOTATED-BRONZE, 
10444,M+H-H2O,537735,1,Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14,Isolated,Data deposited by pmallard,0,spectra/specs_ms.pklbin10444,N/A,N/A,QqQ,Positive,ESI,177.054,lib-00031.mgf,Bronze,3,0.915867,0,0,28,1365,1,GNPS-NIST14-MATCHES,Data from Wolfender/Litaudon,177.054,N/A,157.63,5,N/A,0,177.054,spectra/specs_ms.pklbin,CCMSLIB00003135300,4712.93,UPDATE-SINGLE-ANNOTATED-BRONZE, 
